"ГАЗ 21 «Волга» 21В";1 900 000 ₽;1960;10 000 км;чёрный;задний;седан;механика;"2.5 л";70 л.с;Бензин
"ГАЗ 24 «Волга» 2401 I (24)";250 000 ₽;1984;50 000 км;чёрный;задний;седан;механика;"2.5 л";85 л.с;Бензин
"ГАЗ 3110 «Волга»";130 000 ₽;1997;78 000 км;серебристый;задний;седан;механика;"2.5 л";100 л.с;Бензин
"ГАЗ 24 «Волга» 2407 I (24)";120 000 ₽;1983;41 033 км;синий;задний;седан;механика;"2.5 л";85 л.с;Бензин
"ГАЗ 31105 «Волга»";165 000 ₽;2008;134 500 км;золотистый;задний;седан;механика;"2.4 л";137 л.с;Бензин
"ГАЗ 31105 «Волга»";120 000 ₽;2004;398 000 км;серебристый;задний;седан;механика;"2.5 л";81 л.с;Бензин
"ГАЗ 3110 «Волга»";105 000 ₽;1998;179 000 км;серый;задний;седан;механика;"2.5 л";90 л.с;Бензин
"ГАЗ 31105 «Волга»";175 000 ₽;2005;111 000 км;серебристый;задний;седан;механика;"2.3 л";131 л.с;Бензин
"ГАЗ 31105 «Волга»";150 000 ₽;2006;140 000 км;серебристый;задний;седан;механика;"2.4 л";137 л.с;Бензин
"ГАЗ 3110 «Волга»";220 000 ₽;1997;80 000 км;белый;задний;седан;механика;"2.5 л";100 л.с;Бензин
"ГАЗ 24 «Волга» 24 I (24)";450 000 ₽;1985;96 147 км;чёрный;задний;седан;механика;"2.5 л";95 л.с;Бензин
"ГАЗ 3102 «Волга»";180 000 ₽;2001;200 000 км;белый;задний;седан;механика;"2.3 л";131 л.с;Бензин
"ГАЗ 21 «Волга» 21Р";750 000 ₽;1968;2 000 км;белый;задний;седан;механика;"2.5 л";75 л.с;Бензин
"ГАЗ 3102 «Волга»";300 000 ₽;2002;300 000 км;чёрный;задний;седан;механика;"2.3 л";131 л.с;Бензин
"ГАЗ 31029 «Волга»";139 000 ₽;1994;57 250 км;серый;задний;седан;механика;"2.5 л";100 л.с;Бензин
"ГАЗ 21 «Волга» 21Л";500 000 ₽;1965;40 000 км;белый;задний;седан;механика;"2.5 л";75 л.с;Бензин
"ГАЗ М-20 «Победа»";122 000 ₽;1955;50 000 км;бежевый;задний;фастбек;механика;"2.1 л";52 л.с;Бензин
"ГАЗ 24 «Волга» 24 I (24)";149 999 ₽;1975;76 000 км;белый;задний;седан;механика;"2.5 л";95 л.с;Бензин
"ГАЗ 12 ЗИМ";2 500 000 ₽;1953;100 000 км;белый;задний;седан;механика;"3.5 л";90 л.с;Бензин
"ГАЗ 31105 «Волга»";130 000 ₽;2008;299 271 км;белый;задний;седан;механика;"2.4 л";137 л.с;Бензин
"ГАЗ 69 69А";120 000 ₽;1970;49 248 км;зелёный;полный;"внедорожник 5 дв.";механика;"2.1 л";55 л.с;Бензин
"ГАЗ Volga Siber I";260 000 ₽;2009;195 000 км;серебристый;передний;седан;автомат;"2.4 л";143 л.с;Бензин
"ГАЗ Volga Siber I";500 000 ₽;2010;87 000 км;серебристый;передний;седан;механика;"2.4 л";143 л.с;Бензин
"ГАЗ 21 «Волга» 21В";1 700 000 ₽;1960;10 000 км;синий;задний;седан;механика;"2.5 л";70 л.с;Бензин
"ГАЗ 21 «Волга» 21В";2 050 000 ₽;1960;635 км;чёрный;задний;седан;механика;"2.5 л";70 л.с;Бензин
"ГАЗ 31029 «Волга»";49 000 ₽;1997;120 000 км;серый;задний;седан;механика;"2.5 л";100 л.с;Бензин
"ГАЗ 31105 «Волга»";150 000 ₽;2005;176 000 км;белый;задний;седан;механика;"2.3 л";131 л.с;Бензин
"ГАЗ 3110 «Волга»";100 000 ₽;2001;146 000 км;белый;задний;седан;механика;"2.5 л";81 л.с;Бензин
"ГАЗ 31105 «Волга»";200 000 ₽;2004;118 412 км;чёрный;задний;седан;механика;"2.3 л";131 л.с;Бензин
"ГАЗ 3110 «Волга»";105 000 ₽;1999;90 000 км;белый;задний;седан;механика;"2.5 л";90 л.с;Бензин
"ГАЗ 3110 «Волга»";70 000 ₽;1999;100 000 км;зелёный;задний;седан;механика;"2.5 л";90 л.с;Бензин
"ГАЗ 31029 «Волга»";62 000 ₽;1994;90 000 км;белый;задний;седан;механика;"2.5 л";100 л.с;Бензин
"ГАЗ 21 «Волга» 21Р";2 590 000 ₽;1968;356 км;чёрный;задний;седан;механика;"2.5 л";75 л.с;Бензин
"ГАЗ Volga Siber I";415 000 ₽;2010;153 521 км;бежевый;передний;седан;механика;"2.4 л";143 л.с;Бензин
"ГАЗ 3110 «Волга»";60 000 ₽;1999;300 000 км;белый;задний;седан;механика;"2.5 л";90 л.с;Бензин
"ГАЗ 21 «Волга» 21Л";150 000 ₽;1963;5 000 км;бежевый;задний;седан;механика;"2.5 л";75 л.с;Бензин
"ГАЗ 21 «Волга» 21Р";100 000 ₽;1967;50 000 км;серый;задний;седан;механика;"2.5 л";75 л.с;Бензин
